folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative/Interim,calldt,Interim Follow-up: Days from index date to call,"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,cmplbp,Interim Follow-up: Completed blood pressure (BP),"",choices,"",complete2,interim_shhs,"","",""
Administrative/Interim,cmplcvd,Interim Follow-up: Completed cardiovascular disease (CVD) events form (parent study form),"",choices,"",complete4,interim_shhs,"","",""
Administrative/Interim,cmplmeds,Interim Follow-up: Completed medication form,"",choices,"",complete4,interim_shhs,"","",""
Administrative/Interim,cmplshq,Interim Follow-up: Completed sleep health questionnaire form,"",choices,"",complete4,interim_shhs,"","",""
Administrative/Interim,cmplwt,Interim Follow-up: Completed weight,"",choices,"",complete2,interim_shhs,"","",""
Administrative/Interim,comments,Interim Follow-up: Any comments,"",text,"","",interim_shhs,"","",""
Administrative/Interim,completeddt_scr,Interim Follow-up: Days from index date to date when screener form was completed,"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,completeddt_stat,Interim Follow-up: Days from index date to date when status form was completed,"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,contact,Interim Follow-up: Able to contact participant,"",choices,"",noyes01,interim_shhs,"","",""
Administrative/Interim,formdt,Interim Follow-up: Days from index date to date when form was filled out,"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,fup_all,Interim Follow-up: All followup forms present,"",choices,"",noyes01,interim_shhs,"","",""
Administrative/Interim,fup_scr,Interim Follow-up: Contact Form present,"",choices,"",noyes01,interim_shhs,"","",""
Administrative/Interim,fup_slpsym,Interim Follow-up: Sleep Habits Form present,"",choices,"",noyes01,interim_shhs,"","",""
Administrative/Interim,fup_stat,"Interim Follow-up: Status, Blood Pressure and Weight Form present","",choices,"",noyes01,interim_shhs,"","",""
Administrative/Interim,fuweight,Interim Follow-up: Follow up (FU) status weight,Units are not consistent across observations; use [wtunits](https://sleepdata.org/datasets/shhs/variables/wtunits) to determine proper unit.,numeric,"","",interim_shhs,"","",""
Administrative/Interim,intrevdt,Interim Follow-up: Days from index date to Interview or Review date,"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,langadmin,Interim Follow-up: Language in which interview was administered,"",choices,"",lang6,interim_shhs,"","",""
Administrative/Interim,nocontact,Interim Follow-up: Reason contact not made,"",choices,"",nocontactreason,interim_shhs,"","",""
Administrative/Interim,pptstatus,Interim Follow-up: Participant Status,"",choices,"",status,interim_shhs,"","",""
Administrative/Interim,readin_scr,Interim Follow-up: Days from index date to when screener record was read in at Coordinating Center (CC),"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,readin_slpsym,Interim Follow-up: Days from index date to when sleep symptoms record was read in at Coordinating Center (CC),"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,readin_stat,Interim Follow-up: Days from index date to when status record was read in at Coordinating Center (CC),"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,reasrefused,Interim Follow-up: Reason refused repeat study,"",choices,"",reasonrefused,interim_shhs,"","",""
Administrative/Interim,repeat,Interim Follow-up: Willing to repeat study,"",choices,"",yesnod2,interim_shhs,"","",""
Administrative/Interim,scrfollowup,Interim Follow-up: Follow-up number,"",integer,"","",interim_shhs,"","",""
Administrative/Interim,spclangadmin,Interim Follow-up: Other language in which interview was administered,"",text,"","",interim_shhs,"","",""
Administrative/Interim,spcnocontact,Interim Follow-up: Other reason contact not made,"",text,"","",interim_shhs,"","",""
Administrative/Interim,spcreasrefused,Interim Follow-up: Other reason refused repeat study,"",text,"","",interim_shhs,"","",""
Administrative/Interim,statusother,Interim Follow-up: Participant Status - other (text),"",text,"","",interim_shhs,"","",""
Administrative/Interim,visitdt,Interim Follow-up: Days from index date to follow-up visit,"",numeric,days from index date,"",interim_shhs,"","",""
Administrative/Interim,whoadmin,Interim Follow-up: Who administered this form,"",choices,"",administered,interim_shhs,"","",""
Administrative/SHHS1,date02,Sleep Habits (Sleep Heart Health Study Visit One (SHHS1)): Date completed,Date form filled out (days from index date),numeric,days from index date,"",sleep_habits_questionnaire_shhs,"","",shhs1_sleep_habits_questionnaire
Administrative/SHHS1,ecg,Has electrocardiogram (ECG) data (Sleep Heart Health Study Visit One (SHHS1)),"",choices,"",noyes01,ekg,"","",""
Administrative/SHHS1,lang15,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): Language of interview,"Language of interview 1=English, 2=Spanish, 3=Lakota, 4=Pima, 5=Other (specify [LANGOT15]), 6=Unknown",choices,"",lang6,health_interview_shhs,"","",shhs1_health_interview_form_aric_chs_tucson_strong_heart;shhs1_health_interview_form_framingham;shhs1_health_interview_form_new_york
Administrative/SHHS1,shhs1_ae,Has Sleep Heart Health Study Visit One (SHHS1) Adverse Event form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_all,Has all Sleep Heart Health Study Visit One (SHHS1) forms,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_avars,Has Sleep Heart Health Study Visit One (SHHS1) A-variables,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_bp,Has Sleep Heart Health Study Visit One (SHHS1) Blood Pressure (BP) form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_cf,Has Sleep Heart Health Study Visit One (SHHS1) Contact form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_hi,Has Sleep Heart Health Study Visit One (SHHS1) Health Interview form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_meds,Has Sleep Heart Health Study Visit One (SHHS1) Medications form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_ms,Has Sleep Heart Health Study Visit One (SHHS1) Morning Survey form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_psg,Has Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) record,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_qa,Has Sleep Heart Health Study Visit One (SHHS1) Quality form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_qc,Has Sleep Heart Health Study Visit One (SHHS1) Sleep Study QC form,"",choices,"",noyes01,"","","",shhs1_sleep_data_quality_assessment_and_preliminary_report_form
Administrative/SHHS1,shhs1_ql,Has Sleep Heart Health Study Visit One (SHHS1) Quality of Life (QOL) form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_sdr,Has Sleep Heart Health Study Visit One (SHHS1) Sleep Data Retrieval form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_sh,Has Sleep Heart Health Study Visit One (SHHS1) Sleep Habits form,"",choices,"",noyes01,"","","",""
Administrative/SHHS1,shhs1_tcvd,Has Sleep Heart Health Study Visit One (SHHS1) Tuscon Cardiovascular Disease (CVD) data,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,formdate_hi,Health Interview (Sleep Heart Health Study Visit Two (SHHS2)): Date completed,"",numeric,days from index date,"",health_interview_shhs,"","",shhs2_health_interview
Administrative/SHHS2,formdate_pm,Physical Measurements (Sleep Heart Health Study Visit Two (SHHS2)): Date of completed,Date of Physical Measurements form,numeric,days from index date,"","","","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Administrative/SHHS2,formdate_sh,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Date completed,Date of Sleep Habits form,numeric,days from index date,"","","","",""
Administrative/SHHS2,hi217,Health Interview (Sleep Heart Health Study Visit Two (SHHS2)): Language of interview,Field Site Use Only 17. Interviewer administered in:,choices,"",lang6,health_interview_shhs,"","",shhs2_health_interview
Administrative/SHHS2,shhs2_all,Has all Sleep Heart Health Study Visit Two (SHHS2) Forms,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_hi,Has Sleep Heart Health Study Visit Two (SHHS2) Health Interview form,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_meds,Has Sleep Heart Health Study Visit Two (SHHS2) Medications form,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_ms,Has Sleep Heart Health Study Visit Two (SHHS2) Morning Survey,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_pm,Has Sleep Heart Health Study Visit Two (SHHS2) Physical Measurements form,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_psg,Has Sleep Heart Health Study Visit Two (SHHS2) Polysomnography (PSG) record,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_ql,Has Sleep Heart Health Study Visit Two (SHHS2) Quality of Life (QOL) form,"",choices,"",noyes01,"","","",""
Administrative/SHHS2,shhs2_sh,Has Sleep Heart Health Study Visit Two (SHHS2) Sleep Habits form,"",choices,"",noyes01,"","","",""
Administrative,nsrrid,NSRR Subject ID,This subject identifier was created by the National Sleep Research Resource (NSRR) team to more easily match with file downloads. Use 'pptid' to link with Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) and cohort-specific data.,identifier,"","","","",true,""
Administrative,pptid,New SHHS participant ID assigned by BioLINCC,"This participant ID matches what is present in Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC). From BioLINCC, this column may be called 'npptid'.",identifier,"","","","","",""
Administrative,pptidr,Randomized ID: Incorporates parent study random ID,This participant ID matches what is present in Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC).,identifier,"","","","",true,""
Administrative,visitnumber,Sleep Heart Health Study (SHHS) Visit Number,"",choices,"",visitnumber,timepoint,"",true,""
Anthropometry,bmi_s1,Body mass index (BMI) (Sleep Heart Health Study Visit One (SHHS1)),Body Mass Index (BMI) at Sleep Heart Health Study Visit One (SHHS1),numeric,kilograms per square meter,"","",( weight / ( (height/100) * (height/100) ) ),true,""
Anthropometry,bmi_s2,Body mass index (BMI) (Sleep Heart Health Study Visit Two (SHHS2)),Body Mass Index (BMI) at Sleep Heart Health Study Visit Two (SHHS2),numeric,kilograms per square meter,"","",( pm202 / ( (pm207/100) * (pm207/100) ) ),true,""
Anthropometry,height,Height (Sleep Heart Health Study Visit One (SHHS1)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 145 centimeters and an upper limit of 188 centimeters.,numeric,centimeters,"",cm,"",true,""
Anthropometry,hip,Hip Circumference (Sleep Heart Health Study Visit One (SHHS1)),Hip measurement in centimeters,numeric,centimeters,"",cm,"",true,""
Anthropometry,neck20,Neck Circumference (Sleep Heart Health Study Visit One (SHHS1)),Neck circumference in centimeters,numeric,centimeters,"",cm,"","",shhs1_seated_bp_weight_neck_circumference_form
Anthropometry,pm202,Weight (Sleep Heart Health Study Visit Two (SHHS2)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 47 kilograms and an upper limit of 126 kilograms.,numeric,kilograms,"","","",true,shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Anthropometry,pm207,Height (Sleep Heart Health Study Visit Two (SHHS2)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 145 centimeters and an upper limit of 188 centimeters.,numeric,centimeters,"",cm,"",true,shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Anthropometry,pm211,Physical Measurements (Sleep Heart Health Study Visit Two (SHHS2)): Neck circumference within window,11.Neck circumference measurement within the data collection window?,choices,"",noyes01,"","","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
