,display_name,description,folder
62,NSRR Subject ID,This subject identifier was created by the National Sleep Research Resource (NSRR) team to more easily match with file downloads. Use 'pptid' to link with Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) and cohort-specific data.,Administrative
66,Body mass index (BMI) (Sleep Heart Health Study Visit One (SHHS1)),Body Mass Index (BMI) at Sleep Heart Health Study Visit One (SHHS1),Anthropometry
68,Height (Sleep Heart Health Study Visit One (SHHS1)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 145 centimeters and an upper limit of 188 centimeters.,Anthropometry
69,Hip Circumference (Sleep Heart Health Study Visit One (SHHS1)),Hip measurement in centimeters,Anthropometry
70,Neck Circumference (Sleep Heart Health Study Visit One (SHHS1)),Neck circumference in centimeters,Anthropometry
77,Waist Circumference (Sleep Heart Health Study Visit One (SHHS1)),Waist measurement in centimeters,Anthropometry
78,Weight (Sleep Heart Health Study Visit One (SHHS1)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 47 kilograms and an upper limit of 126 kilograms.,Anthropometry
79,Weight at Blood Pressure (BP) measurement (Sleep Heart Health Study Visit One (SHHS1)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 47 kilograms and an upper limit of 126 kilograms.,Anthropometry
290,Education level of the participant,,Demographics/Education
291,Age at Sleep Heart Health Study Visit One (SHHS1),"Age at time of study in years, based on start date of Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) recording.",Demographics/SHHS1
292,Age at Sleep Heart Health Study Visit One (SHHS1),"Age at time of study in years, based on start date of Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) recording. Values equal to 90 indicate an age of 90 or greater.",Demographics/SHHS1
293,Marital status of the participant,,Demographics/SHHS1
296,Ethnicity (Hispanic or Latino) of the participant,"Note: This variable was derived from `race` and was not asked as a separate demographic question. At the time of SHHS Visit 1, race and ethnicity were collected together in a single question. This variable was derived later on when the datasets were prepared for deposition in Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC).",Demographics
297,Gender of the participant,Gender as reported by Parent Cohort,Demographics
298,Race of the participant,Race is presented as three (3) categories based on [suggested Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) de-identification procedures](http://www.nhlbi.nih.gov/research/funding/human-subjects/set-preparation-guidelines).,Demographics
444,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): Aspirin in last 2 weeks,"In last two weeks, did you take any aspirin or aspirin containing meds?",Lifestyle and Behavioral Health/SHHS1
449,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): cups of coffee on a regular day,"How many cups of regular coffee do you drink on a regular day? (Number of cups of coffee, up to 2 digits)",Lifestyle and Behavioral Health/SHHS1
450,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): smoked cigarettes,Have you ever smoked cigarettes ('ever' = at least 20 packs in lifetime)?,Lifestyle and Behavioral Health/SHHS1
453,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): now smoke cigarettes,Do you now smoke cigarettes?,Lifestyle and Behavioral Health/SHHS1
454,Smoking Status at Sleep Heart Health Study Visit One (SHHS1),Current Smoking Status at the Sleep Heart Health Study Visit One (SHHS1) visit,Lifestyle and Behavioral Health/SHHS1
455,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): cups of soda (with caffeine) on a regular day,"How many cups/glasses of cola/soda (with caffeine) do you drink on a regular day?  (Number of cups/glasses of soda, up to 2 digits)",Lifestyle and Behavioral Health/SHHS1
456,Health Interview (Sleep Heart Health Study Visit One (SHHS1)): cups of tea on a regular day,"How many cups of tea (with caffeine) do you drink on a regular day? (Number of cups of tea, up to 2 digits)",Lifestyle and Behavioral Health/SHHS1
