dataset,mae_xgb,mae_rf,mae_lr,mae_lasso,mae_ridge,mae_dt,best
"['Anthropometry, Clinical Data, Medical History, Sleep Treatment']",5.174458508822966,4.663704067648828,4.885937997986606,4.7638449123131,4.876070576597016,6.218267340958056,4.663704067648828
"['Anthropometry, Demographics, Lifestyle and Behavioral Health']",5.133371508322595,4.91399817227212,4.685755334656701,4.714636164479049,4.685200668664608,7.192444981925831,4.685200668664608
"['Anthropometry, Clinical Data, Demographics, General Health, Medical History, Sleep Treatment']",4.981486315220266,4.854410693773912,1977.8886867514425,4.689887957517631,4.9269362774880685,6.849646595103567,4.689887957517631
"['Anthropometry, Clinical Data, Demographics, General Health, Medical History']",5.008574269354418,4.849822200589287,2449.1174535718915,4.689887957517631,4.91760870467243,6.803259663629274,4.689887957517631
"['Anthropometry, Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health']",5.001278978318144,4.850730420743347,1136898.0507464488,4.6908320554685154,4.789472990907478,6.673489849982165,4.6908320554685154
"['Anthropometry, Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.010991645847006,4.883256165485802,2758.1810880390526,4.690832055468516,4.821059468770292,6.859566673773308,4.690832055468516
"['Anthropometry, Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health, Medical History']",5.0504782535838615,4.805521945923748,1954.2240374716723,4.691194909575708,4.918629238138533,6.705572585510578,4.691194909575708
"['Anthropometry, Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.130035027884229,4.82830819233976,2570.530487746408,4.691194909575708,4.935028134804076,6.5679657825515365,4.691194909575708
"['Anthropometry, Clinical Data, Demographics, General Health']",5.167514744789644,4.917018875037243,6613.331773329403,4.691946534006751,4.762857421444735,7.132336155740098,4.691946534006751
"['Anthropometry, Clinical Data, Demographics, General Health, Sleep Treatment']",5.150154748593691,4.88156534684018,2194.8552845320423,4.691946534006751,4.781826017989477,6.689808597308364,4.691946534006751
"['Anthropometry, Clinical Data, Demographics']",5.114787674671179,4.828656724991779,4.6979840401456405,4.69831512761888,4.697562642410517,6.485286578173801,4.697562642410517
"['Anthropometry, Clinical Data, Demographics, Sleep Treatment']",5.21657890618788,4.831833590731835,4.7338087384108745,4.69831512761888,4.727323321883119,6.420034122833702,4.69831512761888
"['Anthropometry, Demographics']",5.3418565455067615,4.986488542665638,4.6985084665377865,4.711376955703454,4.698408124590259,6.92907720549385,4.698408124590259
"['Anthropometry, Clinical Data, Medical History']",5.135653891866985,4.698840378700195,4.8759097461570216,4.7638449123131,4.870985114525821,6.467556461219803,4.698840378700195
"['Anthropometry, Demographics, General Health, Medical History']",5.314258413483032,4.855067077346687,4.916258808928376,4.700296156496812,4.901281166843256,6.629988382937393,4.700296156496812
"['Anthropometry, Demographics, General Health, Medical History, Sleep Treatment']",5.305150397034656,4.851094804033921,4.930683113874112,4.700296156496812,4.912146084216714,6.767795621394588,4.700296156496812
"['Anthropometry, Demographics, General Health, Sleep Treatment']",5.428755475319821,4.986266116432345,4.761704131581453,4.700603491401107,4.757090519668207,7.068681040178106,4.700603491401107
